path,label,source_path
data\processed\labelled_4232\Normal\images\Normal-9274.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9274.png
data\processed\labelled_4232\Normal\images\Normal-1392.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1392.png
data\processed\labelled_4232\Normal\images\Normal-2340.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2340.png
data\processed\labelled_4232\Normal\images\Normal-8402.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8402.png
data\processed\labelled_4232\Normal\images\Normal-785.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-785.png
data\processed\labelled_4232\Normal\images\Normal-7482.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7482.png
data\processed\labelled_4232\Normal\images\Normal-10084.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-10084.png
data\processed\labelled_4232\Normal\images\Normal-6827.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6827.png
data\processed\labelled_4232\Normal\images\Normal-8801.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8801.png
data\processed\labelled_4232\Normal\images\Normal-4333.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4333.png
data\processed\labelled_4232\Normal\images\Normal-531.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-531.png
data\processed\labelled_4232\Normal\images\Normal-3069.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3069.png
data\processed\labelled_4232\Normal\images\Normal-8566.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8566.png
data\processed\labelled_4232\Normal\images\Normal-4851.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4851.png
data\processed\labelled_4232\Normal\images\Normal-3979.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3979.png
data\processed\labelled_4232\Normal\images\Normal-6972.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6972.png
data\processed\labelled_4232\Normal\images\Normal-9167.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9167.png
data\processed\labelled_4232\Normal\images\Normal-8755.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8755.png
data\processed\labelled_4232\Normal\images\Normal-1197.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1197.png
data\processed\labelled_4232\Normal\images\Normal-1876.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1876.png
data\processed\labelled_4232\Normal\images\Normal-7321.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7321.png
data\processed\labelled_4232\Normal\images\Normal-4025.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4025.png
data\processed\labelled_4232\Normal\images\Normal-603.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-603.png
data\processed\labelled_4232\Normal\images\Normal-4382.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4382.png
data\processed\labelled_4232\Normal\images\Normal-8239.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8239.png
data\processed\labelled_4232\Normal\images\Normal-1347.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1347.png
data\processed\labelled_4232\Normal\images\Normal-9230.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9230.png
data\processed\labelled_4232\Normal\images\Normal-9390.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9390.png
data\processed\labelled_4232\Normal\images\Normal-6786.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6786.png
data\processed\labelled_4232\Normal\images\Normal-1492.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1492.png
data\processed\labelled_4232\Normal\images\Normal-1879.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1879.png
data\processed\labelled_4232\Normal\images\Normal-3928.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3928.png
data\processed\labelled_4232\Normal\images\Normal-7679.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7679.png
data\processed\labelled_4232\Normal\images\Normal-193.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-193.png
data\processed\labelled_4232\Normal\images\Normal-7362.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7362.png
data\processed\labelled_4232\Normal\images\Normal-6092.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6092.png
data\processed\labelled_4232\Normal\images\Normal-722.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-722.png
data\processed\labelled_4232\Normal\images\Normal-1684.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1684.png
data\processed\labelled_4232\Normal\images\Normal-2426.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2426.png
data\processed\labelled_4232\Normal\images\Normal-2028.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2028.png
data\processed\labelled_4232\Normal\images\Normal-1131.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1131.png
data\processed\labelled_4232\Normal\images\Normal-305.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-305.png
data\processed\labelled_4232\Normal\images\Normal-3527.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3527.png
data\processed\labelled_4232\Normal\images\Normal-1356.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1356.png
data\processed\labelled_4232\Normal\images\Normal-9302.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9302.png
data\processed\labelled_4232\Normal\images\Normal-672.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-672.png
data\processed\labelled_4232\Normal\images\Normal-1449.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1449.png
data\processed\labelled_4232\Normal\images\Normal-5251.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5251.png
data\processed\labelled_4232\Normal\images\Normal-814.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-814.png
data\processed\labelled_4232\Normal\images\Normal-7431.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7431.png
data\processed\labelled_4232\Normal\images\Normal-6999.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6999.png
data\processed\labelled_4232\Normal\images\Normal-8882.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8882.png
data\processed\labelled_4232\Normal\images\Normal-675.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-675.png
data\processed\labelled_4232\Normal\images\Normal-6945.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6945.png
data\processed\labelled_4232\Normal\images\Normal-7013.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7013.png
data\processed\labelled_4232\Normal\images\Normal-7298.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7298.png
data\processed\labelled_4232\Normal\images\Normal-856.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-856.png
data\processed\labelled_4232\Normal\images\Normal-9340.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9340.png
data\processed\labelled_4232\Normal\images\Normal-6795.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6795.png
data\processed\labelled_4232\Normal\images\Normal-8062.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8062.png
data\processed\labelled_4232\Normal\images\Normal-3487.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3487.png
data\processed\labelled_4232\Normal\images\Normal-7669.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7669.png
data\processed\labelled_4232\Normal\images\Normal-10172.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-10172.png
data\processed\labelled_4232\Normal\images\Normal-9858.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9858.png
data\processed\labelled_4232\Normal\images\Normal-1817.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1817.png
data\processed\labelled_4232\Normal\images\Normal-9607.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9607.png
data\processed\labelled_4232\Normal\images\Normal-4864.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4864.png
data\processed\labelled_4232\Normal\images\Normal-2202.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2202.png
data\processed\labelled_4232\Normal\images\Normal-8058.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8058.png
data\processed\labelled_4232\Normal\images\Normal-927.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-927.png
data\processed\labelled_4232\Normal\images\Normal-8232.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8232.png
data\processed\labelled_4232\Normal\images\Normal-10091.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-10091.png
data\processed\labelled_4232\Normal\images\Normal-83.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-83.png
data\processed\labelled_4232\Normal\images\Normal-3734.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3734.png
data\processed\labelled_4232\Normal\images\Normal-2193.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2193.png
data\processed\labelled_4232\Normal\images\Normal-3073.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3073.png
data\processed\labelled_4232\Normal\images\Normal-1896.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1896.png
data\processed\labelled_4232\Normal\images\Normal-8997.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8997.png
data\processed\labelled_4232\Normal\images\Normal-5546.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5546.png
data\processed\labelled_4232\Normal\images\Normal-5511.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5511.png
data\processed\labelled_4232\Normal\images\Normal-5392.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5392.png
data\processed\labelled_4232\Normal\images\Normal-7102.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7102.png
data\processed\labelled_4232\Normal\images\Normal-1546.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1546.png
data\processed\labelled_4232\Normal\images\Normal-4623.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4623.png
data\processed\labelled_4232\Normal\images\Normal-6796.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6796.png
data\processed\labelled_4232\Normal\images\Normal-2414.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2414.png
data\processed\labelled_4232\Normal\images\Normal-7893.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7893.png
data\processed\labelled_4232\Normal\images\Normal-9204.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9204.png
data\processed\labelled_4232\Normal\images\Normal-2060.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2060.png
data\processed\labelled_4232\Normal\images\Normal-4707.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4707.png
data\processed\labelled_4232\Normal\images\Normal-2401.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2401.png
data\processed\labelled_4232\Normal\images\Normal-366.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-366.png
data\processed\labelled_4232\Normal\images\Normal-6294.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6294.png
data\processed\labelled_4232\Normal\images\Normal-5155.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5155.png
data\processed\labelled_4232\Normal\images\Normal-4538.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4538.png
data\processed\labelled_4232\Normal\images\Normal-3221.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3221.png
data\processed\labelled_4232\Normal\images\Normal-6267.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6267.png
data\processed\labelled_4232\Normal\images\Normal-7380.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7380.png
data\processed\labelled_4232\Normal\images\Normal-4390.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4390.png
data\processed\labelled_4232\Normal\images\Normal-4204.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4204.png
data\processed\labelled_4232\Normal\images\Normal-1380.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1380.png
data\processed\labelled_4232\Normal\images\Normal-1674.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1674.png
data\processed\labelled_4232\Normal\images\Normal-8244.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8244.png
data\processed\labelled_4232\Normal\images\Normal-7415.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7415.png
data\processed\labelled_4232\Normal\images\Normal-6821.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6821.png
data\processed\labelled_4232\Normal\images\Normal-3795.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3795.png
data\processed\labelled_4232\Normal\images\Normal-8350.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8350.png
data\processed\labelled_4232\Normal\images\Normal-4954.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4954.png
data\processed\labelled_4232\Normal\images\Normal-602.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-602.png
data\processed\labelled_4232\Normal\images\Normal-7788.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7788.png
data\processed\labelled_4232\Normal\images\Normal-166.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-166.png
data\processed\labelled_4232\Normal\images\Normal-1956.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1956.png
data\processed\labelled_4232\Normal\images\Normal-2135.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2135.png
data\processed\labelled_4232\Normal\images\Normal-6766.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6766.png
data\processed\labelled_4232\Normal\images\Normal-5872.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5872.png
data\processed\labelled_4232\Normal\images\Normal-9108.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9108.png
data\processed\labelled_4232\Normal\images\Normal-8338.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8338.png
data\processed\labelled_4232\Normal\images\Normal-5285.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5285.png
data\processed\labelled_4232\Normal\images\Normal-9125.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9125.png
data\processed\labelled_4232\Normal\images\Normal-7244.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7244.png
data\processed\labelled_4232\Normal\images\Normal-4398.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4398.png
data\processed\labelled_4232\Normal\images\Normal-6137.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6137.png
data\processed\labelled_4232\Normal\images\Normal-1787.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1787.png
data\processed\labelled_4232\Normal\images\Normal-833.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-833.png
data\processed\labelled_4232\Normal\images\Normal-2788.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2788.png
data\processed\labelled_4232\Normal\images\Normal-2224.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2224.png
data\processed\labelled_4232\Normal\images\Normal-883.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-883.png
data\processed\labelled_4232\Normal\images\Normal-9758.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9758.png
data\processed\labelled_4232\Normal\images\Normal-5997.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5997.png
data\processed\labelled_4232\Normal\images\Normal-1346.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1346.png
data\processed\labelled_4232\Normal\images\Normal-2923.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2923.png
data\processed\labelled_4232\Normal\images\Normal-5516.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5516.png
data\processed\labelled_4232\Normal\images\Normal-9203.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9203.png
data\processed\labelled_4232\Normal\images\Normal-6166.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6166.png
data\processed\labelled_4232\Normal\images\Normal-2725.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2725.png
data\processed\labelled_4232\Normal\images\Normal-5484.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5484.png
data\processed\labelled_4232\Normal\images\Normal-934.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-934.png
data\processed\labelled_4232\Normal\images\Normal-4657.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4657.png
data\processed\labelled_4232\Normal\images\Normal-3501.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3501.png
data\processed\labelled_4232\Normal\images\Normal-92.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-92.png
data\processed\labelled_4232\Normal\images\Normal-7488.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7488.png
data\processed\labelled_4232\Normal\images\Normal-3006.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3006.png
data\processed\labelled_4232\Normal\images\Normal-5310.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5310.png
data\processed\labelled_4232\Normal\images\Normal-6381.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6381.png
data\processed\labelled_4232\Normal\images\Normal-1313.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1313.png
data\processed\labelled_4232\Normal\images\Normal-5319.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5319.png
data\processed\labelled_4232\Normal\images\Normal-5430.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5430.png
data\processed\labelled_4232\Normal\images\Normal-5294.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-5294.png
data\processed\labelled_4232\Normal\images\Normal-948.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-948.png
data\processed\labelled_4232\Normal\images\Normal-4014.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4014.png
data\processed\labelled_4232\Normal\images\Normal-7953.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7953.png
data\processed\labelled_4232\Normal\images\Normal-8470.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-8470.png
data\processed\labelled_4232\Normal\images\Normal-7098.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7098.png
data\processed\labelled_4232\Normal\images\Normal-2830.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2830.png
data\processed\labelled_4232\Normal\images\Normal-1177.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1177.png
data\processed\labelled_4232\Normal\images\Normal-1548.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1548.png
data\processed\labelled_4232\Normal\images\Normal-9889.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9889.png
data\processed\labelled_4232\Normal\images\Normal-4924.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4924.png
data\processed\labelled_4232\Normal\images\Normal-121.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-121.png
data\processed\labelled_4232\Normal\images\Normal-3207.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3207.png
data\processed\labelled_4232\Normal\images\Normal-6031.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6031.png
data\processed\labelled_4232\Normal\images\Normal-10030.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-10030.png
data\processed\labelled_4232\Normal\images\Normal-4412.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4412.png
data\processed\labelled_4232\Normal\images\Normal-3699.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3699.png
data\processed\labelled_4232\Normal\images\Normal-9927.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-9927.png
data\processed\labelled_4232\Normal\images\Normal-1963.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1963.png
data\processed\labelled_4232\Normal\images\Normal-1539.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1539.png
data\processed\labelled_4232\Normal\images\Normal-3893.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3893.png
data\processed\labelled_4232\Normal\images\Normal-1941.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1941.png
data\processed\labelled_4232\Normal\images\Normal-6693.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-6693.png
data\processed\labelled_4232\Normal\images\Normal-1218.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1218.png
data\processed\labelled_4232\Normal\images\Normal-1661.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-1661.png
data\processed\labelled_4232\Normal\images\Normal-2083.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-2083.png
data\processed\labelled_4232\Normal\images\Normal-4920.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4920.png
data\processed\labelled_4232\Normal\images\Normal-3375.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-3375.png
data\processed\labelled_4232\Normal\images\Normal-4205.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-4205.png
data\processed\labelled_4232\Normal\images\Normal-7346.png,Normal,data\raw\radiography\COVID-19_Radiography_Dataset\Normal\images\Normal-7346.png
