path,source_path
data\processed\unlabelled_16934\images\unlabelled_00014_c94b9e264b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4271.png
data\processed\unlabelled_16934\images\unlabelled_00015_358996703a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S09814_ses-E18986_acq-1_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00016_31a1444d05.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (5401).png
data\processed\unlabelled_16934\images\unlabelled_00017_d85449b842.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (838).png
data\processed\unlabelled_16934\images\unlabelled_00018_7f6d3f3fa9.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_3284.png
data\processed\unlabelled_16934\images\unlabelled_00019_dd7d081893.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (11166).png
data\processed\unlabelled_16934\images\unlabelled_00020_590d6d1c31.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_1568.png
data\processed\unlabelled_16934\images\unlabelled_00021_fff312ebd9.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09750_ses-E23348_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00022_f889dbff4c.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (10306).png
data\processed\unlabelled_16934\images\unlabelled_00023_913081fed8.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4400.png
data\processed\unlabelled_16934\images\unlabelled_00024_21102baee0.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (1674).png
data\processed\unlabelled_16934\images\unlabelled_00025_ba5518e19b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (1295).png
data\processed\unlabelled_16934\images\unlabelled_00026_cae0b0552b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10846_ses-E24650_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00027_41470bcd8a.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Test\COVID-19\images\covid_2998.png
data\processed\unlabelled_16934\images\unlabelled_00028_7781326cea.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (4874).png
data\processed\unlabelled_16934\images\unlabelled_00029_9c5bcc138b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (10510).png
data\processed\unlabelled_16934\images\unlabelled_00030_22c15686e5.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (2384).png
data\processed\unlabelled_16934\images\unlabelled_00031_3c3de3cda3.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10835_ses-E18843_acq-1_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00032_c7d3c16022.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (4564).png
data\processed\unlabelled_16934\images\unlabelled_00033_12cbacb72b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4023.png
data\processed\unlabelled_16934\images\unlabelled_00034_4ace0d1a45.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (209).png
data\processed\unlabelled_16934\images\unlabelled_00035_54f3e1f9f1.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09317_ses-E24206_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00036_8f34a22d25.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\covid_2692.png
data\processed\unlabelled_16934\images\unlabelled_00037_b64b6476a6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7480).png
data\processed\unlabelled_16934\images\unlabelled_00038_f4b954d920.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\covid_3086.png
data\processed\unlabelled_16934\images\unlabelled_00039_d71823b096.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (6194).png
data\processed\unlabelled_16934\images\unlabelled_00040_2bb3b2a086.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (2642).png
data\processed\unlabelled_16934\images\unlabelled_00041_2111111273.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (951).png
data\processed\unlabelled_16934\images\unlabelled_00042_edc8ed4ed4.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10555_ses-E20115_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00043_9081855765.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_716.png
data\processed\unlabelled_16934\images\unlabelled_00044_54cb6e0d95.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (2347).png
data\processed\unlabelled_16934\images\unlabelled_00045_6292bd1fb3.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09563_ses-E20755_acq-1_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00046_850f130d17.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S12781_ses-E27042_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00047_60c1309e27.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7397).png
data\processed\unlabelled_16934\images\unlabelled_00048_819bfd391d.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Val\COVID-19\images\covid_2364.png
data\processed\unlabelled_16934\images\unlabelled_00049_dac349a122.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S12167_ses-E26455_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00050_9f3f483fe9.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S11269_ses-E20095_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00051_8565044136.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (6353).png
data\processed\unlabelled_16934\images\unlabelled_00052_8f48cc545a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (5945).png
data\processed\unlabelled_16934\images\unlabelled_00053_2704f4dc54.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (9760).png
data\processed\unlabelled_16934\images\unlabelled_00054_9171770b7b.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Normal\images\Normal (1771).png
data\processed\unlabelled_16934\images\unlabelled_00055_88fcf0680d.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_957.png
data\processed\unlabelled_16934\images\unlabelled_00056_b82dfae2aa.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_762.png
data\processed\unlabelled_16934\images\unlabelled_00057_79198ee93d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S11158_ses-E19683_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00058_c11d9b014c.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Val\COVID-19\images\covid_2456.png
data\processed\unlabelled_16934\images\unlabelled_00059_89ffa7f263.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S09815_ses-E21706_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00060_eff8a8614a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S08097_ses-E16748_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00061_f51d2716c7.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7492).png
data\processed\unlabelled_16934\images\unlabelled_00062_2cee074b9e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10841_ses-E19594_acq-1_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00063_a8cb4ec918.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (1951).png
data\processed\unlabelled_16934\images\unlabelled_00064_61e2e298d7.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (6547).png
data\processed\unlabelled_16934\images\unlabelled_00065_2646fdcf06.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (266).png
data\processed\unlabelled_16934\images\unlabelled_00066_441506a398.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (6875).png
data\processed\unlabelled_16934\images\unlabelled_00067_92a98ecc3e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (404).png
data\processed\unlabelled_16934\images\unlabelled_00068_2b140d5c9a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_360.png
data\processed\unlabelled_16934\images\unlabelled_00069_f3438779c3.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10582_ses-E22935_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00070_31541062cb.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Normal\images\Normal (1893).png
data\processed\unlabelled_16934\images\unlabelled_00071_0c1f157a2e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (8382).png
data\processed\unlabelled_16934\images\unlabelled_00072_b0e860b43e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09526_ses-E16708_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00073_ae55d3ab2f.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10144_ses-E18537_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00074_6e8fc56d00.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (31).png
data\processed\unlabelled_16934\images\unlabelled_00075_c106caf0a6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (2535).png
data\processed\unlabelled_16934\images\unlabelled_00076_21081dd08f.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7452).png
data\processed\unlabelled_16934\images\unlabelled_00077_a3c21bfceb.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10633_ses-E21354_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00078_3e7f9e2b9d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (10878).png
data\processed\unlabelled_16934\images\unlabelled_00079_e763d0a7e7.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4340.png
data\processed\unlabelled_16934\images\unlabelled_00080_6e78beec78.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (1325).png
data\processed\unlabelled_16934\images\unlabelled_00081_9b4bbc566a.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Non-COVID\images\non_COVID (374).png
data\processed\unlabelled_16934\images\unlabelled_00082_f78cdd5233.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_871.png
data\processed\unlabelled_16934\images\unlabelled_00083_d9c8a520ca.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\COVID-19\images\covid_3815.png
data\processed\unlabelled_16934\images\unlabelled_00084_c866b9d480.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (10330).png
data\processed\unlabelled_16934\images\unlabelled_00085_261d29a0d2.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (8817).png
data\processed\unlabelled_16934\images\unlabelled_00086_24b4cd8e03.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10594_ses-E23601_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00087_67465e3243.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Normal\images\Normal (1549).png
data\processed\unlabelled_16934\images\unlabelled_00088_79a3663136.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_3706.png
data\processed\unlabelled_16934\images\unlabelled_00089_e617c9ddeb.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (5252).png
data\processed\unlabelled_16934\images\unlabelled_00090_b440b999f6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (10284).png
data\processed\unlabelled_16934\images\unlabelled_00091_cf5117f260.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_383.png
data\processed\unlabelled_16934\images\unlabelled_00092_a07ccd044d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (4999).png
data\processed\unlabelled_16934\images\unlabelled_00093_800f951f98.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (8473).png
data\processed\unlabelled_16934\images\unlabelled_00094_4b0df0457b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (2310).png
data\processed\unlabelled_16934\images\unlabelled_00095_19ff4333a1.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (3675).png
data\processed\unlabelled_16934\images\unlabelled_00096_19f663f1f6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10556_ses-E22716_run-1_bp-chest_vp-ap_cr.png
data\processed\unlabelled_16934\images\unlabelled_00097_654f501ea3.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (3459).png
data\processed\unlabelled_16934\images\unlabelled_00098_c6b0e956e2.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10189_ses-E24050_acq-1_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00099_c2354f6ee2.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (11174).png
data\processed\unlabelled_16934\images\unlabelled_00100_9301e3d89e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09622_ses-E26154_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00101_ec73417501.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10531_ses-E22446_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00102_90251e50cf.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (10252).png
data\processed\unlabelled_16934\images\unlabelled_00103_4c5e1f4746.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (10894).png
data\processed\unlabelled_16934\images\unlabelled_00104_bf8f1681df.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (1019).png
data\processed\unlabelled_16934\images\unlabelled_00105_772e1934d7.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (8708).png
data\processed\unlabelled_16934\images\unlabelled_00106_01bcbd4ac6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (6374).png
data\processed\unlabelled_16934\images\unlabelled_00107_c3e13b5121.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_4320.png
data\processed\unlabelled_16934\images\unlabelled_00108_48c1227ed6.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (3372).png
data\processed\unlabelled_16934\images\unlabelled_00109_c90c877b1b.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (5682).png
data\processed\unlabelled_16934\images\unlabelled_00110_2043478bca.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (4624).png
data\processed\unlabelled_16934\images\unlabelled_00111_8296bcdc65.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\covid_1771.png
data\processed\unlabelled_16934\images\unlabelled_00112_b99e11ab41.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Non-COVID\images\non_COVID (10316).png
data\processed\unlabelled_16934\images\unlabelled_00113_b4b870afdc.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09408_ses-E21947_run-1_bp-chest_cr.png
data\processed\unlabelled_16934\images\unlabelled_00114_7eed725d9d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (4378).png
data\processed\unlabelled_16934\images\unlabelled_00115_a538b84859.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (108).png
data\processed\unlabelled_16934\images\unlabelled_00116_fb5936f18f.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (10480).png
data\processed\unlabelled_16934\images\unlabelled_00117_a46116401e.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (752).png
data\processed\unlabelled_16934\images\unlabelled_00118_308a77057a.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Train\Normal\images\Normal (11968).png
data\processed\unlabelled_16934\images\unlabelled_00119_33b5bedd37.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7785).png
data\processed\unlabelled_16934\images\unlabelled_00120_5924bfbb6f.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7586).png
data\processed\unlabelled_16934\images\unlabelled_00121_657ab0b389.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (718).png
data\processed\unlabelled_16934\images\unlabelled_00122_4d18c59e21.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (2922).png
data\processed\unlabelled_16934\images\unlabelled_00123_46d21516ef.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\covid_2221.png
data\processed\unlabelled_16934\images\unlabelled_00124_a5f55c2bcd.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10322_ses-E21292_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00125_4cfd09ffa5.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Non-COVID\images\non_COVID (10631).png
data\processed\unlabelled_16934\images\unlabelled_00126_0969d262b0.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Test\Non-COVID\images\non_COVID (3324).png
data\processed\unlabelled_16934\images\unlabelled_00127_3703c5d208.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09499_ses-E23231_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00128_85bdc60a0a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09581_ses-E26029_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00129_a43c9a9336.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10581_ses-E18345_acq-1_run-1_bp-chest_vp-ll_dx.png
data\processed\unlabelled_16934\images\unlabelled_00130_619a9808c9.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (238).png
data\processed\unlabelled_16934\images\unlabelled_00131_21f3006833.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09443_ses-E22166_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00132_60257f85f2.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S11277_ses-E20121_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00133_47c2691727.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (11316).png
data\processed\unlabelled_16934\images\unlabelled_00134_1ed540d744.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Non-COVID\images\non_COVID (4768).png
data\processed\unlabelled_16934\images\unlabelled_00135_4fba97f333.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (1972).png
data\processed\unlabelled_16934\images\unlabelled_00136_1610785b60.png,data\raw\covidqu\Infection Segmentation Data\Infection Segmentation Data\Test\COVID-19\images\covid_2666.png
data\processed\unlabelled_16934\images\unlabelled_00137_ad974fbe5d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S10541_ses-E25065_run-1_bp-chest_vp-pa_dx.png
data\processed\unlabelled_16934\images\unlabelled_00138_2c4569b233.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (5088).png
data\processed\unlabelled_16934\images\unlabelled_00139_294dedef03.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (8874).png
data\processed\unlabelled_16934\images\unlabelled_00140_4b59fb6d21.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (5560).png
data\processed\unlabelled_16934\images\unlabelled_00141_e3a2c33826.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\COVID-19\images\sub-S09371_ses-E20280_run-1_bp-chest_vp-ap_dx.png
data\processed\unlabelled_16934\images\unlabelled_00142_b6f6a08cae.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\sub-S11433_ses-E20702_run-1_bp-chest_vp-pa_cr.png
data\processed\unlabelled_16934\images\unlabelled_00143_35510bd847.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Normal\images\Normal (5559).png
data\processed\unlabelled_16934\images\unlabelled_00144_a1b84c352a.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\COVID-19\images\covid_1573.png
data\processed\unlabelled_16934\images\unlabelled_00145_2f75181b81.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\Normal\images\Normal (9808).png
data\processed\unlabelled_16934\images\unlabelled_00146_f703484fa5.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Train\Non-COVID\images\non_COVID (7106).png
data\processed\unlabelled_16934\images\unlabelled_00147_6c018793a3.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Test\Normal\images\Normal (200).png
data\processed\unlabelled_16934\images\unlabelled_00148_33d82f429d.png,data\raw\covidqu\Lung Segmentation Data\Lung Segmentation Data\Val\COVID-19\images\sub-S09634_ses-E18890_run-1_bp-chest_vp-ap_dx.png
